accessionVersion	lineage	sampleCollectionDate	geoLocCountry	geoLocAdmin1	authors	authorAffiliations	hostNameScientific	length	earliestReleaseDate	submissionId	groupName	dataUseTerms	dataUseTermsUrl	biosampleAccession	completeness	geoLocAdmin2	geoLocCity	insdcAccessionFull	insdcRawReadsAccession	isLabHost	specimenCollectorSampleId	totalAmbiguousNucs	totalUnknownNucs
PP_001YH1H.1	A.D.5.1	2024-10-29	France		Caillault, A.; Fourati, S.	Hospital Henri Mondor - APHP, Department of Virology	Homo sapiens	14967	2025-01-28	PQ899863.1	Automated Ingest from INSDC/NCBI Virus by Loculus	OPEN	https://pathoplexus.org/about/terms-of-use/open-data		0.9833169129720853			PQ899863.1			2310V290012	0	0
PP_002XU6X.1	A.D.1	2024-11-15	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	13763	2025-05-28	hRSV/A/Ireland/un-NVRL-GIRL00083765/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424607	0.8822988505747127			OZ262170.1				0	331
PP_002XU7V.1	A.D.1	2024-11-19	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	14383	2025-05-28	hRSV/A/Ireland/un-NVRL-GIRL00084173/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424608	0.9062725779967159			OZ262178.1				0	584
PP_002XU8T.1	A.D.1	2024-11-18	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	14725	2025-05-28	hRSV/A/Ireland/un-NVRL-GIRL00084355/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424609	0.9380623973727422			OZ262156.1				0	436
PP_002XU9R.1	A.D.5.2	2024-11-22	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	14841	2025-05-28	hRSV/A/Ireland/un-NVRL-GIRL00086409/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424610	0.9750410509031199			OZ262182.1				0	0
PP_002XUAP.1	A.D.1	2024-12-03	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	15085	2025-05-28	hRSV/A/Ireland/un-NVRL-GIRL00087986/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424611	0.947192118226601			OZ262175.1				0	665
PP_002XUBM.1	A.D.5.2	2024-12-03	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	13762	2025-05-28	hRSV/A/Ireland/un-NVRL-GIRL00089137/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424612	0.9041707717569787			OZ262236.1				0	0
PP_002XUCK.1	A.D.3	2024-12-04	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	13762	2025-05-28	hRSV/A/Ireland/un-NVRL-GIRL00089474/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424613	0.8697536945812808			OZ262234.1				0	520
PP_002XUDH.1	A.D.1.6	2024-12-10	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	13760	2025-05-28	hRSV/A/Ireland/un-NVRL-GIRL00090013/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424614	0.8822331691297208			OZ262151.1				0	330
PP_002XUEF.1	A.D.3.1	2024-12-10	Ireland		Carr, Michael; Bennett, Charlene; Banka, Weronika; Fahey, Laura; Rice, Alan; Dean, Jonathan; Hare, Daniel; De Gascun, Cillian F.	National Virus Reference Laboratory, University College Dublin, Dublin, Ireland	Homo sapiens	14087	2025-05-28	hRSV/A/Ireland/un-NVRL-GIRL00090390/2024	NVRL Ireland	OPEN	https://pathoplexus.org/about/terms-of-use/open-data	SAMEA118424615	0.8990476190476191			OZ262233.1				0	401
